County,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Anderson,0.35%,0.50%,0.75%,0.94%,1.00%,1.11%,1.62%,1.64%,2.05%,2.54%
Andrews,0.75%,0.90%,1.07%,1.50%,0.39%,1.36%,0.45%,1.57%,1.43%,1.91%
Angelina,0.70%,0.63%,0.67%,0.82%,0.96%,0.86%,1.03%,1.53%,1.98%,2.50%
Aransas,1.22%,1.39%,1.49%,1.71%,1.57%,1.51%,0.00%,1.91%,1.91%,2.06%
Archer,0.61%,0.45%,0.81%,1.43%,1.29%,1.56%,1.68%,2.32%,2.80%,2.70%
Armstrong,0.59%,1.90%,1.44%,2.35%,3.53%,3.53%,3.77%,4.46%,4.95%,5.24%
Atascosa,0.16%,0.20%,0.24%,0.32%,0.36%,0.62%,0.47%,1.03%,0.81%,1.08%
Austin,0.74%,0.85%,1.05%,1.32%,1.41%,1.80%,1.96%,2.86%,3.35%,3.55%
Bailey,0.67%,0.74%,0.89%,0.98%,0.69%,0.63%,1.03%,1.11%,0.65%,0.80%
Bandera,1.44%,2.24%,2.26%,1.71%,2.17%,2.59%,2.65%,2.68%,2.82%,3.78%
Bastrop,1.08%,1.37%,1.39%,1.56%,1.71%,1.48%,1.64%,1.75%,1.89%,2.09%
Baylor,1.23%,0.70%,0.36%,0.53%,NR**,1.03%,1.68%,0.62%,0.50%,0.88%
Bee,0.24%,0.23%,0.26%,0.39%,0.45%,0.35%,0.87%,1.09%,1.06%,1.48%
Bell,0.71%,0.79%,0.91%,1.25%,1.36%,1.32%,1.64%,1.74%,18.82%,2.42%
Bexar,0.67%,0.69%,0.80%,0.88%,1.02%,1.04%,1.09%,1.34%,1.69%,2.01%
Blanco,3.06%,3.46%,3.52%,3.17%,4.04%,4.47%,4.94%,5.39%,7.02%,7.22%
Borden,2.04%,3.15%,4.24%,5.12%,3.86%,8.66%,5.69%,7.62%,8.33%,8.15%
Bosque,0.68%,0.93%,0.78%,1.48%,1.62%,1.42%,1.89%,2.49%,3.34%,3.66%
Bowie,1.17%,1.30%,1.28%,1.39%,1.34%,1.47%,2.06%,2.24%,2.68%,2.79%
