PHR,group,level,n,answer,pct,low,high
10,Total,Total,451,YES,19.9,15.4,25.3
10,Sex,Male,228,YES,19.2,13.7,26.3
10,Sex,Female,223,YES,20.5,13.7,29.6
10,Race/Ethnicity,"White, Non-Hispanic",90,YES,,,
10,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
10,Race/Ethnicity,Hispanic,315,YES,22.4,17.1,28.9
10,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
10,Age,18 to 29,82,YES,23.9,12.9,39.9
10,Age,30 to 44,87,YES,33.4,22.7,46.1
10,Age,45 to 64,136,YES,19.1,12.5,27.9
10,Age,65,143,YES,,,
10,Education,Less than high school,59,YES,,,
10,Education,High school graduate,110,YES,23.1,15.5,33.2
10,Education,Some college,121,YES,21.4,14.0,31.2
10,Education,College graduate,161,YES,11.5,6.9,18.6
10,Income,"<$25,000",90,YES,26.6,17.7,38.0
10,Income,"$25,000 to <$50,000",114,YES,25.1,16.9,35.6
10,Income,"$50,000.00",174,YES,11.4,6.5,19.1
10,Marital Status,Married,220,YES,15.9,10.8,22.8
10,Marital Status,Not married,229,YES,23.3,16.3,32.1
10,Employment Status,Employed,236,YES,22.9,17.1,29.9
10,Employment Status,Not employed,200,YES,17.3,10.4,27.3
10,Health Insurance,Health insurance,366,YES,14.7,10.1,20.8
10,Health Insurance,No health insurance,64,YES,44.4,30.8,58.8
10,Disability Status,Has disability,163,YES,27.2,18.4,38.1
10,Disability Status,No disability,255,YES,15.8,11.1,22.0
10,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
10,Sexual Orientation,Straight,353,YES,19.6,15.1,25.1
10,Total,Total,451,NO,80.1,74.7,84.6
10,Sex,Male,228,NO,80.8,73.7,86.3
10,Sex,Female,223,NO,79.5,70.4,86.3
10,Race/Ethnicity,"White, Non-Hispanic",90,NO,93.5,80.2,98.1
10,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
10,Race/Ethnicity,Hispanic,315,NO,77.6,71.1,82.9
10,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
10,Age,18 to 29,82,NO,76.1,60.1,87.1
10,Age,30 to 44,87,NO,66.6,53.9,77.3
10,Age,45 to 64,136,NO,80.9,72.1,87.5
10,Age,65,143,NO,91.9,85.5,95.6
10,Education,Less than high school,59,NO,76.7,55.8,89.6
10,Education,High school graduate,110,NO,76.9,66.8,84.5
10,Education,Some college,121,NO,78.6,68.8,86.0
10,Education,College graduate,161,NO,88.5,81.4,93.1
10,Income,"<$25,000",90,NO,73.4,62.0,82.3
10,Income,"$25,000 to <$50,000",114,NO,74.9,64.4,83.1
10,Income,"$50,000.00",174,NO,88.6,80.9,93.5
10,Marital Status,Married,220,NO,84.1,77.2,89.2
10,Marital Status,Not married,229,NO,76.7,67.9,83.7
10,Employment Status,Employed,236,NO,77.1,70.1,82.9
