text,kind,author,date,url,uri,matched_keyword,parent_url,parent_uri,week_start,vaccine_sentiment,vaccine_confidence,covid_vaccine_sentiment,covid_vaccine_confidence,coronavirus_vaccine_sentiment,coronavirus_vaccine_confidence,measles_vaccine_sentiment,measles_vaccine_confidence,mmr_vaccine_sentiment,mmr_vaccine_confidence,mmr_sentiment,mmr_confidence,covid_sentiment,covid_confidence,coronavirus_sentiment,coronavirus_confidence,measles_sentiment,measles_confidence,mumps_sentiment,mumps_confidence,rubella_sentiment,rubella_confidence,side_effects_sentiment,side_effects_confidence,efficacy_sentiment,efficacy_confidence,effectiveness_sentiment,effectiveness_confidence,safety_sentiment,safety_confidence,protection_sentiment,protection_confidence,immunity_sentiment,immunity_confidence,autism_sentiment,autism_confidence,pregnant_sentiment,pregnant_confidence,trump_sentiment,trump_confidence,liberals_sentiment,liberals_confidence,woke_sentiment,woke_confidence,conservative_sentiment,conservative_confidence,republican_sentiment,republican_confidence,government_sentiment,government_confidence,big_pharma_sentiment,big_pharma_confidence,fda_sentiment,fda_confidence,cdc_sentiment,cdc_confidence,who_sentiment,who_confidence
"MMR (measles, mumps, rubella)**
Chickenpox**
Polio*
Tetanus*
Diphteria*
Haemophilus influenza b*
Hepatitis B*
Pertussis*
HPV
Covid
Flu
Rabies
Tick-borne encephalitis
Meningococcus B + C
Rotavirus
Pneumococcus

* = a 6in1 vacc. for these exists
** = also as MMRV combo 

..off the top of my head.",post,cwinters.bsky.social,2025-02-01 23:35:29.354000+00:00,https://bsky.app/profile/cwinters.bsky.social/post/3lh5oip2bbs2s,at://did:plc:pb5kwlk46snawezh4bjqib4g/app.bsky.feed.post/3lh5oip2bbs2s,mmr,,,1/26/25,neutral,0.526,neutral,0.502,neutral,0.508,neutral,0.497,neutral,0.51,neutral,0.542,neutral,0.498,neutral,0.505,neutral,0.495,neutral,0.465,neutral,0.497,neutral,0.468,neutral,0.499,neutral,0.46,neutral,0.532,neutral,0.54,neutral,0.511,neutral,0.515,neutral,0.555,neutral,0.519,neutral,0.55,neutral,0.534,neutral,0.539,neutral,0.526,neutral,0.58,neutral,0.498,neutral,0.525,neutral,0.541,neutral,0.521
"Sadly, MTG’s suggestion of measle parties will result in deaths but if Repubs don’t care about dead school kids or a million deaths due to Covid, they won’t care about this either.

They are the death-cult party.",post,carlamd.bsky.social,2025-03-07 22:50:20.828000+00:00,https://bsky.app/profile/carlamd.bsky.social/post/3ljt3tbo3f224,at://did:plc:x3iek6ukfurekcotqqd3ds7y/app.bsky.feed.post/3ljt3tbo3f224,measle,,,3/2/25,neutral,0.642,negative,0.493,negative,0.532,negative,0.522,negative,0.458,negative,0.468,negative,0.558,negative,0.578,neutral,0.53,negative,0.636,negative,0.547,negative,0.629,negative,0.515,negative,0.59,neutral,0.646,neutral,0.707,neutral,0.617,neutral,0.505,neutral,0.648,negative,0.61,negative,0.688,neutral,0.519,negative,0.545,negative,0.645,negative,0.631,negative,0.588,negative,0.476,negative,0.508,negative,0.512
How much part is in bullshit came from the Democrats for 4 years. The borders are under control but millions came across who were not even checked for COVID and now we have measle outbreaks only an idiot would support the Democrats You have to be stupid not to see they've got kickbacks,post,the-truth99.bsky.social,2025-03-07 14:50:20.771000+00:00,https://bsky.app/profile/the-truth99.bsky.social/post/3ljsayxs2qk2e,at://did:plc:fp4cullek6msuhi4epthx3qe/app.bsky.feed.post/3ljsayxs2qk2e,measle,,,3/2/25,neutral,0.66,neutral,0.487,neutral,0.465,neutral,0.461,neutral,0.584,neutral,0.693,negative,0.459,negative,0.476,neutral,0.577,negative,0.522,negative,0.461,negative,0.566,neutral,0.51,negative,0.522,neutral,0.69,neutral,0.722,neutral,0.682,neutral,0.645,neutral,0.776,negative,0.555,negative,0.646,neutral,0.669,neutral,0.516,negative,0.485,negative,0.596,negative,0.508,neutral,0.675,neutral,0.655,neutral,0.556
"For all the red states that are losing jobs. We warned you. For all the red states that are having influenza covid and measle outbreaks, we warned you.",post,bombaycrone.bsky.social,2025-03-06 18:06:08.429000+00:00,https://bsky.app/profile/bombaycrone.bsky.social/post/3ljq3i5rez22v,at://did:plc:jfouhooyyzsqkuijypkoynoj/app.bsky.feed.post/3ljq3i5rez22v,measle,,,3/2/25,neutral,0.731,neutral,0.575,neutral,0.586,neutral,0.516,neutral,0.622,neutral,0.733,neutral,0.448,neutral,0.478,neutral,0.459,negative,0.46,neutral,0.502,negative,0.485,neutral,0.603,neutral,0.771,neutral,0.679,neutral,0.777,neutral,0.77,neutral,0.68,neutral,0.846,neutral,0.542,negative,0.477,neutral,0.704,neutral,0.672,neutral,0.634,neutral,0.55,neutral,0.457,neutral,0.677,neutral,0.682,neutral,0.749
"Im old enough to have nursed polio victims, how to work an ironlung machine etc. Ive also nursed measle infected babies with brain damage from the meningitis, pre vaccine. Covid is here, covid leaves lots of damage and deaths. Im still waiting for evidence that healthcare wasted money at frontline",post,bee-d.bsky.social,2025-03-05 05:17:40.724000+00:00,https://bsky.app/profile/bee-d.bsky.social/post/3ljma34l6d22l,at://did:plc:5kxzdrelq4l2bsmz7ra6beif/app.bsky.feed.post/3ljma34l6d22l,measle,,,3/2/25,neutral,0.686,neutral,0.528,neutral,0.579,neutral,0.577,neutral,0.705,neutral,0.796,neutral,0.522,neutral,0.544,neutral,0.603,neutral,0.432,neutral,0.513,neutral,0.468,neutral,0.563,neutral,0.707,neutral,0.751,neutral,0.805,neutral,0.775,neutral,0.657,neutral,0.841,neutral,0.579,neutral,0.554,neutral,0.792,neutral,0.781,neutral,0.749,neutral,0.529,neutral,0.534,neutral,0.699,neutral,0.734,neutral,0.711
"Yes, but it's persistence is rather less than measles, and the level of exposure required seems to be rather less for measles than covid.

So covid lingers 20-30 minutes, and measle 90-120.

The death rate for both, in untreated, healthy, people is 1-2 percent.",post,pecunium.bsky.social,2025-02-27 00:33:36.432000+00:00,https://bsky.app/profile/pecunium.bsky.social/post/3lj4nfn44ws25,at://did:plc:lw7hallqsgrhwumgudkph44j/app.bsky.feed.post/3lj4nfn44ws25,measle,,,2/23/25,negative,0.57,negative,0.668,negative,0.667,negative,0.693,negative,0.669,negative,0.637,negative,0.731,negative,0.733,negative,0.738,negative,0.762,negative,0.739,negative,0.771,negative,0.786,negative,0.783,negative,0.598,negative,0.481,negative,0.568,negative,0.736,negative,0.554,negative,0.683,negative,0.599,negative,0.6,negative,0.597,negative,0.633,negative,0.748,negative,0.741,negative,0.669,negative,0.693,negative,0.585
"New coronavirus closly matching cell surface protein that gave us COVID19 recently found in bats coming from........ wait for it........ China! Who would have thought. Bird Flu, Measle outbreaks, etc........  Thank God we have RFK. Am I right? 😒",post,browneyedgirl1966.bsky.social,2025-02-25 10:04:09.255000+00:00,https://bsky.app/profile/browneyedgirl1966.bsky.social/post/3liymdz5j4t2l,at://did:plc:7dvdkoqms6r2kt5hfifxgmvy/app.bsky.feed.post/3liymdz5j4t2l,measle,,,2/23/25,neutral,0.761,neutral,0.709,neutral,0.691,neutral,0.69,neutral,0.751,neutral,0.82,neutral,0.714,neutral,0.699,neutral,0.705,neutral,0.604,neutral,0.715,neutral,0.608,neutral,0.716,neutral,0.754,neutral,0.794,neutral,0.81,neutral,0.749,neutral,0.734,neutral,0.885,neutral,0.809,neutral,0.757,neutral,0.781,neutral,0.831,neutral,0.826,neutral,0.821,neutral,0.672,neutral,0.826,neutral,0.825,neutral,0.834
"New strain of corona virus, measle outbreak, TB... and government firing the experts.  www.newsweek.com/new-coronavi...",post,aqua369.bsky.social,2025-02-24 23:51:04.946000+00:00,https://bsky.app/profile/aqua369.bsky.social/post/3lixk3qviek25,at://did:plc:t23yacftsj53vm635pizbs5p/app.bsky.feed.post/3lixk3qviek25,measle,,,2/23/25,neutral,0.648,neutral,0.591,neutral,0.603,neutral,0.543,neutral,0.654,neutral,0.75,neutral,0.488,neutral,0.511,neutral,0.484,negative,0.5,neutral,0.491,negative,0.487,neutral,0.473,neutral,0.594,neutral,0.627,neutral,0.765,neutral,0.674,neutral,0.567,neutral,0.773,neutral,0.509,negative,0.482,neutral,0.657,neutral,0.638,neutral,0.634,negative,0.638,neutral,0.463,neutral,0.676,neutral,0.684,neutral,0.648
"The problem confirming that idiot is that it WILL affect the rest of the world.

You already have
* TB outbreak with #s that haven't been seen since the 50s
* Measle outbreak
* COVID #s are up.
* Bird flu
* The CDC has issued travel health notices for measles, chikungunya, mpox, Ebola, & Oropouche",post,cindyalberta.bsky.social,2025-02-23 19:31:39.946000+00:00,https://bsky.app/profile/cindyalberta.bsky.social/post/3liul4xiqxk2k,at://did:plc:bv5flk64omr2kwk62g4xjwvz/app.bsky.feed.post/3liul4xiqxk2k,measle,,,2/23/25,neutral,0.596,negative,0.468,negative,0.464,negative,0.489,negative,0.46,neutral,0.562,negative,0.503,negative,0.501,negative,0.519,negative,0.545,negative,0.501,negative,0.545,negative,0.467,neutral,0.505,neutral,0.554,neutral,0.655,neutral,0.616,negative,0.475,neutral,0.659,negative,0.49,negative,0.516,neutral,0.591,neutral,0.632,neutral,0.576,neutral,0.526,negative,0.521,neutral,0.498,neutral,0.552,neutral,0.534
"“Herd immunity” Except it doesn’t work the way non scientists like RFKjr think. It’s one thing when a new disease, like Covid 19, spreads. Protection against Measle and Mumps exists already",post,mangycoyote.bsky.social,2025-02-23 05:03:38.287000+00:00,https://bsky.app/profile/mangycoyote.bsky.social/post/3lit2mskixk2j,at://did:plc:a2z3wuxm7erj3f7gyidliuxc/app.bsky.feed.post/3lit2mskixk2j,measle,,,2/23/25,neutral,0.502,negative,0.404,negative,0.385,negative,0.409,neutral,0.403,neutral,0.587,negative,0.481,negative,0.492,negative,0.406,negative,0.541,negative,0.475,negative,0.576,negative,0.381,neutral,0.436,neutral,0.473,neutral,0.381,positive,0.367,negative,0.443,neutral,0.669,negative,0.472,negative,0.532,neutral,0.531,neutral,0.52,neutral,0.539,negative,0.47,negative,0.505,neutral,0.524,neutral,0.556,neutral,0.549
