text,num_aspects,aspects,aspect_term,sentiment,confidence
"MMR (measles, mumps, rubella)**
Chickenpox**
Polio*
Tetanus*
Diphteria*
Haemophilus influenza b*
Hepatitis B*
Pertussis*
HPV
Covid
Flu
Rabies
Tick-borne encephalitis
Meningococcus B + C
Rotavirus
Pneumococcus

* = a 6in1 vacc. for these exists
** = also as MMRV combo 

..off the top of my head.",3,"measles, covid, mmr",measles,neutral,0.88
"MMR (measles, mumps, rubella)**
Chickenpox**
Polio*
Tetanus*
Diphteria*
Haemophilus influenza b*
Hepatitis B*
Pertussis*
HPV
Covid
Flu
Rabies
Tick-borne encephalitis
Meningococcus B + C
Rotavirus
Pneumococcus

* = a 6in1 vacc. for these exists
** = also as MMRV combo 

..off the top of my head.",3,"measles, covid, mmr",covid,neutral,0.881
"MMR (measles, mumps, rubella)**
Chickenpox**
Polio*
Tetanus*
Diphteria*
Haemophilus influenza b*
Hepatitis B*
Pertussis*
HPV
Covid
Flu
Rabies
Tick-borne encephalitis
Meningococcus B + C
Rotavirus
Pneumococcus

* = a 6in1 vacc. for these exists
** = also as MMRV combo 

..off the top of my head.",3,"measles, covid, mmr",mmr,neutral,0.872
"Sadly, MTG’s suggestion of measle parties will result in deaths but if Repubs don’t care about dead school kids or a million deaths due to Covid, they won’t care about this either.

They are the death-cult party.",2,"covid, death",covid,neutral,0.885
"Sadly, MTG’s suggestion of measle parties will result in deaths but if Repubs don’t care about dead school kids or a million deaths due to Covid, they won’t care about this either.

They are the death-cult party.",2,"covid, death",death,neutral,0.817
How much part is in bullshit came from the Democrats for 4 years. The borders are under control but millions came across who were not even checked for COVID and now we have measle outbreaks only an idiot would support the Democrats You have to be stupid not to see they've got kickbacks,1,covid,covid,neutral,0.835
"For all the red states that are losing jobs. We warned you. For all the red states that are having influenza covid and measle outbreaks, we warned you.",1,covid,covid,neutral,0.625
"Im old enough to have nursed polio victims, how to work an ironlung machine etc. Ive also nursed measle infected babies with brain damage from the meningitis, pre vaccine. Covid is here, covid leaves lots of damage and deaths. Im still waiting for evidence that healthcare wasted money at frontline",2,"vaccine, covid",vaccine,neutral,0.97
"Im old enough to have nursed polio victims, how to work an ironlung machine etc. Ive also nursed measle infected babies with brain damage from the meningitis, pre vaccine. Covid is here, covid leaves lots of damage and deaths. Im still waiting for evidence that healthcare wasted money at frontline",2,"vaccine, covid",covid,neutral,0.816
"Yes, but it's persistence is rather less than measles, and the level of exposure required seems to be rather less for measles than covid.

So covid lingers 20-30 minutes, and measle 90-120.

The death rate for both, in untreated, healthy, people is 1-2 percent.",3,"measles, covid, death",measles,negative,0.719
"Yes, but it's persistence is rather less than measles, and the level of exposure required seems to be rather less for measles than covid.

So covid lingers 20-30 minutes, and measle 90-120.

The death rate for both, in untreated, healthy, people is 1-2 percent.",3,"measles, covid, death",covid,neutral,0.55
"Yes, but it's persistence is rather less than measles, and the level of exposure required seems to be rather less for measles than covid.

So covid lingers 20-30 minutes, and measle 90-120.

The death rate for both, in untreated, healthy, people is 1-2 percent.",3,"measles, covid, death",death,neutral,0.515
"New coronavirus closly matching cell surface protein that gave us COVID19 recently found in bats coming from........ wait for it........ China! Who would have thought. Bird Flu, Measle outbreaks, etc........  Thank God we have RFK. Am I right? 😒",1,coronavirus,coronavirus,neutral,0.816
"The problem confirming that idiot is that it WILL affect the rest of the world.

You already have
* TB outbreak with #s that haven't been seen since the 50s
* Measle outbreak
* COVID #s are up.
* Bird flu
* The CDC has issued travel health notices for measles, chikungunya, mpox, Ebola, & Oropouche",2,"measles, covid",measles,neutral,0.891
"The problem confirming that idiot is that it WILL affect the rest of the world.

You already have
* TB outbreak with #s that haven't been seen since the 50s
* Measle outbreak
* COVID #s are up.
* Bird flu
* The CDC has issued travel health notices for measles, chikungunya, mpox, Ebola, & Oropouche",2,"measles, covid",covid,neutral,0.874
