Public_health_unit,Antigen,Age,Year,Coverage
Algoma Public Health,HPV,12,2023-2024,59.3
Algoma Public Health,HepB,12,2023-2024,62.9
Algoma Public Health,HPV,17,2023-2024,69.4
Algoma Public Health,Diphtheria,17,2023-2024,74
Algoma Public Health,HepB,17,2023-2024,76.3
Algoma Public Health,Pertussis,17,2023-2024,74
Algoma Public Health,Tetanus,17,2023-2024,74
Algoma Public Health,Rota,7,2023-2024,81.1
Algoma Public Health,MCV4,12,2023-2024,80.8
Algoma Public Health,Diphtheria,7,2023-2024,86.6
Algoma Public Health,Hib,7,2023-2024,87.5
Algoma Public Health,MCC,7,2023-2024,94.9
Algoma Public Health,Measles,7,2023-2024,86.6
Algoma Public Health,Mumps,7,2023-2024,86.3
Algoma Public Health,Pertussis,7,2023-2024,86.6
Algoma Public Health,Pneumo,7,2023-2024,89.5
Algoma Public Health,Polio,7,2023-2024,87.1
Algoma Public Health,Tetanus,7,2023-2024,86.6
Algoma Public Health,Varicella,7,2023-2024,85.4
Algoma Public Health,MCV4,17,2023-2024,91.2
Algoma Public Health,Measles,17,2023-2024,96.5
Algoma Public Health,Mumps,17,2023-2024,96.5
Algoma Public Health,Polio,17,2023-2024,95.5
Algoma Public Health,Rubella,7,2023-2024,95.4
Algoma Public Health,Rubella,17,2023-2024,97.4
Algoma Public Health,Diphtheria,7,2013-2014,89.3
Algoma Public Health,Diphtheria,7,2014-2015,74.7
Algoma Public Health,Diphtheria,7,2015-2016,91.8
Algoma Public Health,Diphtheria,7,2016-2017,94.4
Algoma Public Health,Diphtheria,7,2017-2018,87.3
Algoma Public Health,Diphtheria,7,2018-2019,75
Algoma Public Health,Diphtheria,17,2013-2014,88.2
Algoma Public Health,Diphtheria,17,2014-2015,83
Algoma Public Health,Diphtheria,17,2015-2016,85.5
Algoma Public Health,Diphtheria,17,2016-2017,89.8
Algoma Public Health,Diphtheria,17,2017-2018,85.3
Algoma Public Health,Diphtheria,17,2018-2019,81.3
Algoma Public Health,Diphtheria,7,2019-2020,80.1
Algoma Public Health,Diphtheria,17,2019-2020,71.8
Algoma Public Health,Diphtheria,7,2020-2021,73.6
Algoma Public Health,Diphtheria,17,2020-2021,59.1
Algoma Public Health,Diphtheria,7,2021-2022,68.7
Algoma Public Health,Diphtheria,17,2021-2022,46.9
Algoma Public Health,Diphtheria,7,2022-2023,68.3
Algoma Public Health,Diphtheria,17,2022-2023,49.2
Algoma Public Health,HepB,12,2013-2014,78.9
Algoma Public Health,HepB,12,2014-2015,75.5
Algoma Public Health,HepB,12,2015-2016,72.8
Algoma Public Health,HepB,12,2016-2017,73.4
Algoma Public Health,HepB,12,2017-2018,64.9
Algoma Public Health,HepB,12,2018-2019,64.9
Algoma Public Health,HepB,17,2018-2019,85.2
Algoma Public Health,HepB,12,2019-2020,62.1
Algoma Public Health,HepB,17,2019-2020,83.6
Algoma Public Health,HepB,12,2020-2021,55.2
Algoma Public Health,HepB,17,2020-2021,82.7
Algoma Public Health,HepB,12,2021-2022,66.4
Algoma Public Health,HepB,17,2021-2022,77.5
Algoma Public Health,HepB,12,2022-2023,69
Algoma Public Health,HepB,17,2022-2023,73.4
Algoma Public Health,Hib,7,2013-2014,95.5
Algoma Public Health,Hib,7,2014-2015,93.5
Algoma Public Health,Hib,7,2015-2016,93.5
Algoma Public Health,Hib,7,2016-2017,91.9
Algoma Public Health,Hib,7,2017-2018,92
Algoma Public Health,Hib,7,2018-2019,92.3
Algoma Public Health,Hib,7,2019-2020,91.1
Algoma Public Health,Hib,7,2020-2021,92.4
Algoma Public Health,Hib,7,2021-2022,90.8
Algoma Public Health,Hib,7,2022-2023,87.8
Algoma Public Health,HPV,12,2013-2014,63.2
Algoma Public Health,HPV,12,2014-2015,62
Algoma Public Health,HPV,12,2015-2016,60.2
Algoma Public Health,HPV,12,2016-2017,61.5
Algoma Public Health,HPV,12,2017-2018,55.8
Algoma Public Health,HPV,12,2018-2019,57.5
Algoma Public Health,HPV,17,2018-2019,68
Algoma Public Health,HPV,12,2019-2020,60
Algoma Public Health,HPV,17,2019-2020,69.8
Algoma Public Health,HPV,12,2020-2021,50.6
Algoma Public Health,HPV,17,2020-2021,67.8
Algoma Public Health,HPV,12,2021-2022,61.5
Algoma Public Health,HPV,17,2021-2022,65.2
Algoma Public Health,HPV,12,2022-2023,64.4
Algoma Public Health,HPV,17,2022-2023,64.4
Algoma Public Health,MCC,7,2013-2014,89.5
Algoma Public Health,MCC,7,2014-2015,93.3
Algoma Public Health,MCC,7,2015-2016,97.4
Algoma Public Health,MCC,7,2016-2017,98
Algoma Public Health,MCC,7,2017-2018,98.1
Algoma Public Health,MCC,7,2018-2019,97.1
Algoma Public Health,MCC,7,2019-2020,97.2
Algoma Public Health,MCC,7,2020-2021,96.1
Algoma Public Health,MCC,7,2021-2022,95.1
Algoma Public Health,MCC,7,2022-2023,92.5
Algoma Public Health,MCV4,12,2013-2014,85.2
Algoma Public Health,MCV4,12,2014-2015,84.1
Algoma Public Health,MCV4,12,2015-2016,85.8
Algoma Public Health,MCV4,12,2016-2017,84.8
Algoma Public Health,MCV4,12,2017-2018,81.5
Algoma Public Health,MCV4,12,2018-2019,81.1
Algoma Public Health,MCV4,17,2018-2019,97.4
Algoma Public Health,MCV4,12,2019-2020,92.1
Algoma Public Health,MCV4,17,2019-2020,95.1
Algoma Public Health,MCV4,12,2020-2021,86.3
Algoma Public Health,MCV4,17,2020-2021,95.4
Algoma Public Health,MCV4,12,2021-2022,90.5
Algoma Public Health,MCV4,17,2021-2022,89.3
Algoma Public Health,MCV4,12,2022-2023,92.1
Algoma Public Health,MCV4,17,2022-2023,86
Algoma Public Health,Measles,7,2013-2014,97.5
Algoma Public Health,Measles,7,2014-2015,93.1
Algoma Public Health,Measles,7,2015-2016,96.4
Algoma Public Health,Measles,7,2016-2017,96.4
Algoma Public Health,Measles,7,2017-2018,88
Algoma Public Health,Measles,7,2018-2019,75.9
Algoma Public Health,Measles,17,2013-2014,98.7
Algoma Public Health,Measles,17,2014-2015,97.4
Algoma Public Health,Measles,17,2015-2016,97.8
Algoma Public Health,Measles,17,2016-2017,98.5
Algoma Public Health,Measles,17,2017-2018,98.5
Algoma Public Health,Measles,17,2018-2019,98.3
Algoma Public Health,Measles,7,2019-2020,80.6
Algoma Public Health,Measles,17,2019-2020,96.4
Algoma Public Health,Measles,7,2020-2021,75.8
Algoma Public Health,Measles,17,2020-2021,96.7
Algoma Public Health,Measles,7,2021-2022,68.7
Algoma Public Health,Measles,17,2021-2022,95.5
Algoma Public Health,Measles,7,2022-2023,68.9
Algoma Public Health,Measles,17,2022-2023,95.2
Algoma Public Health,Mumps,7,2013-2014,97.5
Algoma Public Health,Mumps,7,2014-2015,93.1
Algoma Public Health,Mumps,7,2015-2016,96.4
Algoma Public Health,Mumps,7,2016-2017,96.4
Algoma Public Health,Mumps,7,2017-2018,88
Algoma Public Health,Mumps,7,2018-2019,75.9
Algoma Public Health,Mumps,17,2013-2014,98.7
Algoma Public Health,Mumps,17,2014-2015,97.4
Algoma Public Health,Mumps,17,2015-2016,97.8
Algoma Public Health,Mumps,17,2016-2017,98.5
Algoma Public Health,Mumps,17,2017-2018,98.4
Algoma Public Health,Mumps,17,2018-2019,98.3
Algoma Public Health,Mumps,7,2019-2020,80.6
Algoma Public Health,Mumps,17,2019-2020,96.4
Algoma Public Health,Mumps,7,2020-2021,75.8
Algoma Public Health,Mumps,17,2020-2021,96.7
Algoma Public Health,Mumps,7,2021-2022,68.7
Algoma Public Health,Mumps,17,2021-2022,95.4
Algoma Public Health,Mumps,7,2022-2023,68.9
Algoma Public Health,Mumps,17,2022-2023,95
Algoma Public Health,Pertussis,7,2013-2014,89.3
Algoma Public Health,Pertussis,7,2014-2015,74.5
Algoma Public Health,Pertussis,7,2015-2016,91.8
Algoma Public Health,Pertussis,7,2016-2017,94.4
Algoma Public Health,Pertussis,7,2017-2018,87.3
Algoma Public Health,Pertussis,7,2018-2019,75
Algoma Public Health,Pertussis,17,2013-2014,85.4
Algoma Public Health,Pertussis,17,2014-2015,80.2
Algoma Public Health,Pertussis,17,2015-2016,77.7
Algoma Public Health,Pertussis,17,2016-2017,82.7
Algoma Public Health,Pertussis,17,2017-2018,82
Algoma Public Health,Pertussis,17,2018-2019,81.2
Algoma Public Health,Pertussis,7,2019-2020,80.1
Algoma Public Health,Pertussis,17,2019-2020,71.8
Algoma Public Health,Pertussis,7,2020-2021,73.5
Algoma Public Health,Pertussis,17,2020-2021,59
Algoma Public Health,Pertussis,7,2021-2022,68.7
Algoma Public Health,Pertussis,17,2021-2022,46.9
Algoma Public Health,Pertussis,7,2022-2023,68.3
Algoma Public Health,Pertussis,17,2022-2023,49
Algoma Public Health,Pneumo,7,2013-2014,87.2
Algoma Public Health,Pneumo,7,2014-2015,88.1
Algoma Public Health,Pneumo,7,2015-2016,90.4
Algoma Public Health,Pneumo,7,2016-2017,87.1
