State,Area,Percentage of people fully vaccinated
Alabama,Autauga County,0.4633
Alabama,Baldwin County,0.5689
Alabama,Barbour County,0.4521
Alabama,Bibb County,0.3604
Alabama,Blount County,0.3289
Alabama,Bullock County,0.551
Alabama,Butler County,0.3959
Alabama,Calhoun County,0.4808
Alabama,Chambers County,0.3245
Alabama,Cherokee County,0.3261
Alabama,Chilton County,0.3785
Alabama,Choctaw County,0.657
Alabama,Clarke County,0.5061
Alabama,Clay County,0.4305
Alabama,Cleburne County,0.2945
Alabama,Coffee County,0.4969
Alabama,Colbert County,0.5002
Alabama,Conecuh County,0.4358
Alabama,Coosa County,0.4111
Alabama,Covington County,0.3869
Alabama,Crenshaw County,0.3532
Alabama,Cullman County,0.3984
Alabama,Dale County,0.4928
Alabama,Dallas County,0.4372
Alabama,DeKalb County,0.3524
Alabama,Elmore County,0.4812
Alabama,Escambia County,0.3703
Alabama,Etowah County,0.4204
Alabama,Fayette County,0.3547
Alabama,Franklin County,0.4484
Alabama,Geneva County,0.4086
Alabama,Greene County,0.5063
Alabama,Hale County,0.6194
Alabama,Henry County,0.4674
Alabama,Houston County,0.4521
Alabama,Jackson County,0.5056
Alabama,Jefferson County,0.608
Alabama,Lamar County,0.4488
Alabama,Lauderdale County,0.4832
Alabama,Lawrence County,0.4774
Alabama,Lee County,0.433
Alabama,Limestone County,0.4271
Alabama,Lowndes County,0.5067
Alabama,Macon County,0.4784
Alabama,Madison County,0.6792
Alabama,Marengo County,0.5374
Alabama,Marion County,0.3699
Alabama,Marshall County,0.4804
Alabama,Mobile County,0.5161
Alabama,Monroe County,0.4319
Alabama,Montgomery County,0.5447
Alabama,Morgan County,0.4506
Alabama,Perry County,0.4712
Alabama,Pickens County,0.5101
Alabama,Pike County,0.4324
Alabama,Randolph County,0.3434
Alabama,Russell County,0.439
Alabama,St. Clair County,0.4137
Alabama,Shelby County,0.3874
Alabama,Sumter County,0.5164
Alabama,Talladega County,0.3741
Alabama,Tallapoosa County,0.3937
Alabama,Tuscaloosa County,0.4594
Alabama,Walker County,0.4795
Alabama,Washington County,0.4613
Alabama,Wilcox County,0.5298
Alabama,Winston County,0.2229
Alaska,Aleutians East Borough,0.7293
Alaska,Aleutians West Census Area,0.6289
Alaska,Anchorage Municipality,0.6873
Alaska,Bethel Census Area,0.6999
Alaska,Bristol Bay Borough,1.0697
Alaska,Chugach,#REF!
Alaska,Copper River,#REF!
Alaska,Denali Borough,0.5215
Alaska,Dillingham Census Area,0.5284
Alaska,Fairbanks North Star Borough,0.6203
Alaska,Haines Borough,0.7141
Alaska,Hoonah-Angoon Census Area,0.7233
Alaska,Juneau City and Borough,0.7868
Alaska,Kenai Peninsula Borough,0.5037
Alaska,Ketchikan Gateway Borough,0.6785
Alaska,Kodiak Island Borough,0.6373
Alaska,Kusilvak Census Area,0.6977
Alaska,Lake and Peninsula Borough,0.6996
Alaska,Matanuska-Susitna Borough,0.4431
Alaska,Nome Census Area,0.7212
Alaska,North Slope Borough,0.4033
Alaska,Northwest Arctic Borough,0.6197
Alaska,Petersburg Borough,0.7862
Alaska,Prince of Wales-Hyder Census Area,0.5221
Alaska,Sitka City and Borough,0.785
Alaska,Skagway Municipality,0.8275
Alaska,Southeast Fairbanks Census Area,0.4298
Alaska,Valdez-Cordova Census Area,0.6397
Alaska,Wrangell City and Borough,0.6063
Alaska,Yakutat City and Borough,0.6691
Alaska,Yukon-Koyukuk Census Area,0.7627
Arizona,Apache County,1.1078
Arizona,Cochise County,0.7078
Arizona,Coconino County,0.8442
Arizona,Gila County,0.6315
Arizona,Graham County,0.6924
Arizona,Greenlee County,0.4541
Arizona,La Paz County,0.5092
Arizona,Maricopa County,0.6455
Arizona,Mohave County,0.459
Arizona,Navajo County,0.8626
Arizona,Pima County,0.7643
Arizona,Pinal County,0.6365
Arizona,Santa Cruz County,1.3121
Arizona,Yavapai County,0.54
Arizona,Yuma County,0.7814
Arkansas,Arkansas County,0.5615
Arkansas,Ashley County,0.4926
Arkansas,Baxter County,0.486
Arkansas,Benton County,0.6209
Arkansas,Boone County,0.3979
Arkansas,Bradley County,0.5787
Arkansas,Calhoun County,0.3956
Arkansas,Carroll County,0.5126
Arkansas,Chicot County,0.5264
Arkansas,Clark County,0.507
Arkansas,Clay County,0.4573
Arkansas,Cleburne County,0.4585
Arkansas,Cleveland County,0.532
Arkansas,Columbia County,0.4986
Arkansas,Conway County,0.5575
Arkansas,Craighead County,0.5147
Arkansas,Crawford County,0.4797
Arkansas,Crittenden County,0.4673
Arkansas,Cross County,0.5108
Arkansas,Dallas County,0.5482
Arkansas,Desha County,0.5982
Arkansas,Drew County,0.4885
Arkansas,Faulkner County,0.5479
Arkansas,Franklin County,0.4972
Arkansas,Fulton County,0.3686
Arkansas,Garland County,0.4854
Arkansas,Grant County,0.485
Arkansas,Greene County,0.4594
Arkansas,Hempstead County,0.4182
Arkansas,Hot Spring County,0.4501
Arkansas,Howard County,0.5588
Arkansas,Independence County,0.4582
Arkansas,Izard County,0.4389
Arkansas,Jackson County,0.3955
Arkansas,Jefferson County,0.4612
Arkansas,Johnson County,0.5189
Arkansas,Lafayette County,0.4194
Arkansas,Lawrence County,0.4776
Arkansas,Lee County,0.3902
Arkansas,Lincoln County,0.3498
Arkansas,Little River County,0.4196
Arkansas,Logan County,0.4852
Arkansas,Lonoke County,0.5054
Arkansas,Madison County,0.4704
Arkansas,Marion County,0.3785
Arkansas,Miller County,0.3323
Arkansas,Mississippi County,0.4068
Arkansas,Monroe County,0.554
Arkansas,Montgomery County,0.3831
