kind,author,date,url,uri,text,matched_keyword,parent_url,parent_uri,week_start,text_clean
post,cwinters.bsky.social,2025-02-01 23:35:29.354000+00:00,https://bsky.app/profile/cwinters.bsky.social/post/3lh5oip2bbs2s,at://did:plc:pb5kwlk46snawezh4bjqib4g/app.bsky.feed.post/3lh5oip2bbs2s,"MMR (measles, mumps, rubella)**
Chickenpox**
Polio*
Tetanus*
Diphteria*
Haemophilus influenza b*
Hepatitis B*
Pertussis*
HPV
Covid
Flu
Rabies
Tick-borne encephalitis
Meningococcus B + C
Rotavirus
Pneumococcus

* = a 6in1 vacc. for these exists
** = also as MMRV combo 

..off the top of my head.",mmr,,,1/26/25,"MMR (measles, mumps, rubella)** Chickenpox** Polio* Tetanus* Diphteria* Haemophilus influenza b* Hepatitis B* Pertussis* HPV Covid Flu Rabies Tick-borne encephalitis Meningococcus B + C Rotavirus Pneumococcus * = a 6in1 vacc. for these exists ** = also as MMRV combo ..off the top of my head."
post,carlamd.bsky.social,2025-03-07 22:50:20.828000+00:00,https://bsky.app/profile/carlamd.bsky.social/post/3ljt3tbo3f224,at://did:plc:x3iek6ukfurekcotqqd3ds7y/app.bsky.feed.post/3ljt3tbo3f224,"Sadly, MTG’s suggestion of measle parties will result in deaths but if Repubs don’t care about dead school kids or a million deaths due to Covid, they won’t care about this either.

They are the death-cult party.",measle,,,3/2/25,"Sadly, MTG's suggestion of measle parties will result in deaths but if Repubs don't care about dead school kids or a million deaths due to Covid, they won't care about this either. They are the death-cult party."
post,the-truth99.bsky.social,2025-03-07 14:50:20.771000+00:00,https://bsky.app/profile/the-truth99.bsky.social/post/3ljsayxs2qk2e,at://did:plc:fp4cullek6msuhi4epthx3qe/app.bsky.feed.post/3ljsayxs2qk2e,How much part is in bullshit came from the Democrats for 4 years. The borders are under control but millions came across who were not even checked for COVID and now we have measle outbreaks only an idiot would support the Democrats You have to be stupid not to see they've got kickbacks,measle,,,3/2/25,How much part is in bullshit came from the Democrats for 4 years. The borders are under control but millions came across who were not even checked for COVID and now we have measle outbreaks only an idiot would support the Democrats You have to be stupid not to see they've got kickbacks
post,bombaycrone.bsky.social,2025-03-06 18:06:08.429000+00:00,https://bsky.app/profile/bombaycrone.bsky.social/post/3ljq3i5rez22v,at://did:plc:jfouhooyyzsqkuijypkoynoj/app.bsky.feed.post/3ljq3i5rez22v,"For all the red states that are losing jobs. We warned you. For all the red states that are having influenza covid and measle outbreaks, we warned you.",measle,,,3/2/25,"For all the red states that are losing jobs. We warned you. For all the red states that are having influenza covid and measle outbreaks, we warned you."
post,bee-d.bsky.social,2025-03-05 05:17:40.724000+00:00,https://bsky.app/profile/bee-d.bsky.social/post/3ljma34l6d22l,at://did:plc:5kxzdrelq4l2bsmz7ra6beif/app.bsky.feed.post/3ljma34l6d22l,"Im old enough to have nursed polio victims, how to work an ironlung machine etc. Ive also nursed measle infected babies with brain damage from the meningitis, pre vaccine. Covid is here, covid leaves lots of damage and deaths. Im still waiting for evidence that healthcare wasted money at frontline",measle,,,3/2/25,"Im old enough to have nursed polio victims, how to work an ironlung machine etc. Ive also nursed measle infected babies with brain damage from the meningitis, pre vaccine. Covid is here, covid leaves lots of damage and deaths. Im still waiting for evidence that healthcare wasted money at frontline"
post,pecunium.bsky.social,2025-02-27 00:33:36.432000+00:00,https://bsky.app/profile/pecunium.bsky.social/post/3lj4nfn44ws25,at://did:plc:lw7hallqsgrhwumgudkph44j/app.bsky.feed.post/3lj4nfn44ws25,"Yes, but it's persistence is rather less than measles, and the level of exposure required seems to be rather less for measles than covid.

So covid lingers 20-30 minutes, and measle 90-120.

The death rate for both, in untreated, healthy, people is 1-2 percent.",measle,,,2/23/25,"Yes, but it's persistence is rather less than measles, and the level of exposure required seems to be rather less for measles than covid. So covid lingers 20-30 minutes, and measle 90-120. The death rate for both, in untreated, healthy, people is 1-2 percent."
post,browneyedgirl1966.bsky.social,2025-02-25 10:04:09.255000+00:00,https://bsky.app/profile/browneyedgirl1966.bsky.social/post/3liymdz5j4t2l,at://did:plc:7dvdkoqms6r2kt5hfifxgmvy/app.bsky.feed.post/3liymdz5j4t2l,"New coronavirus closly matching cell surface protein that gave us COVID19 recently found in bats coming from........ wait for it........ China! Who would have thought. Bird Flu, Measle outbreaks, etc........  Thank God we have RFK. Am I right? 😒",measle,,,2/23/25,"New coronavirus closly matching cell surface protein that gave us COVID19 recently found in bats coming from... wait for it... China! Who would have thought. Bird Flu, Measle outbreaks, etc... Thank God we have RFK. Am I right? 😒"
post,aqua369.bsky.social,2025-02-24 23:51:04.946000+00:00,https://bsky.app/profile/aqua369.bsky.social/post/3lixk3qviek25,at://did:plc:t23yacftsj53vm635pizbs5p/app.bsky.feed.post/3lixk3qviek25,"New strain of corona virus, measle outbreak, TB... and government firing the experts.  www.newsweek.com/new-coronavi...",measle,,,2/23/25,"New strain of corona virus, measle outbreak, TB... and government firing the experts. www.newsweek.com/new-coronavi..."
post,cindyalberta.bsky.social,2025-02-23 19:31:39.946000+00:00,https://bsky.app/profile/cindyalberta.bsky.social/post/3liul4xiqxk2k,at://did:plc:bv5flk64omr2kwk62g4xjwvz/app.bsky.feed.post/3liul4xiqxk2k,"The problem confirming that idiot is that it WILL affect the rest of the world.

You already have
* TB outbreak with #s that haven't been seen since the 50s
* Measle outbreak
* COVID #s are up.
* Bird flu
* The CDC has issued travel health notices for measles, chikungunya, mpox, Ebola, & Oropouche",measle,,,2/23/25,"The problem confirming that idiot is that it WILL affect the rest of the world. You already have * TB outbreak with #s that haven't been seen since the 50s * Measle outbreak * COVID #s are up. * Bird flu * The CDC has issued travel health notices for measles, chikungunya, mpox, Ebola, & Oropouche"
post,mangycoyote.bsky.social,2025-02-23 05:03:38.287000+00:00,https://bsky.app/profile/mangycoyote.bsky.social/post/3lit2mskixk2j,at://did:plc:a2z3wuxm7erj3f7gyidliuxc/app.bsky.feed.post/3lit2mskixk2j,"“Herd immunity” Except it doesn’t work the way non scientists like RFKjr think. It’s one thing when a new disease, like Covid 19, spreads. Protection against Measle and Mumps exists already",measle,,,2/23/25,"""Herd immunity"" Except it doesn't work the way non scientists like RFKjr think. It's one thing when a new disease, like Covid 19, spreads. Protection against Measle and Mumps exists already"
