"Table with row headers in columns A and B and column headers in rows 5 through 9","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
"Table HI05_ACS. Health Insurance Coverage Status and Type of Coverage by State and Age for All Persons: 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Universe: Civilian noninstitutionalized population",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Numbers in thousands)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nation/State","Characteristic","Total",NA,"Any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Any private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Employment-based",NA,NA,NA,"Direct purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA
NA,NA,"Number","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA
"United States","All people","330000","20","303800","180","92.1","0.1","221100","455","67","0.1","180400","418","54.7","0.1","45770","149","13.9","Z","9088","82","2.8","Z","123500","279","37.4","0.1","70330","316","21.3","0.1","11500","88","3.5","Z","61900","66","18.8","Z","30600","105","9.3000000000000007","Z","11860","68","3.6","Z","7396","49","2.2000000000000002","Z","26170","183","7.9","0.1"
"United States",".Under 65 years","272100","36","246400","167","90.6","0.1","190000","401","69.8","0.2","163200","380","60","0.1","29560","131","10.9","Z","5941","75","2.2000000000000002","Z","68350","298","25.1","0.1","61970","301","22.8","0.1","8590","84","3.2","Z","6863","57","2.5","Z","1843","30","0.7","Z","3496","39","1.3","Z","3701","36","1.4","Z","25690","180","9.4","0.1"
