"Table 1  Travel burden for hospital care, national, provincial/territorial and regional levels, 2018–2019 to 2022–2023 (5 years of pooled data)",,,,,,,,,,,
Reporting level,Province/territory,Geography code,Region,Rural/remote versus urban,CMG Care Level,CMG Provider Service Group,Metric,Travel burden category,Value,,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Very low,"8,736,389",,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Low,"1,958,294",,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Moderate,"1,767,517",,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,High,"757,392",,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Very high,"498,120",,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,High/very high,"1,255,512",,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Total,"13,717,712",,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very low,63.7,,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Low,14.3,,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Moderate,12.9,,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,High,5.5,,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very high,3.6,,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,High/very high,9.1,,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,High/very high travel burden hospitalization rate,High/very high,6.2,,
National,n/a,0000,n/a,Overall,All levels,All service provider groups,Total hospitalization rate,Total,67.5,,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Very low,"3,589,168",,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Low,"741,869",,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Moderate,"654,853",,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Number of hospitalizations,High,"197,188",,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Very high,"142,857",,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Number of hospitalizations,High/very high,"340,045",,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Number of hospitalizations,Total,"5,325,935",,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,Very low,67.4,,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,Low,13.9,,
