"Table with row headers in column A and column headers in rows 5 through 9","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
"Table HI05. Health Insurance Coverage Status and Type of Coverage by State and Age for All People: 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/acs/tech_docs/accuracy/ACS_Accuracy_of_Data_2016.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Source: U.S. Census Bureau, 2016 American Community Survey. (Numbers in thousands. Margins of Error calculated using replicate weights. Civilian noninstitutionalized population.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nation/State","Characteristic","Total",NA,"Covered by any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by government health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Employment-based",NA,NA,NA,"Direct Purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also by private insurance",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also by private insurance",NA,NA,NA,"Also by Medicaid",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA
NA,NA,"Number","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA
"United States","All persons","318176","15","290872","158","91.400000000000006","0.10000000000000001","215859","369","67.799999999999997","0.10000000000000001","173907","325","54.700000000000003","0.10000000000000001","44815","187","14.1","0.10000000000000001","8566","73","2.7000000000000002","Z","112688","205","35.399999999999999","0.10000000000000001","66357","208","20.899999999999999","0.10000000000000001","9246","70","2.8999999999999999","Z","54126","60","17","Z","29703","90","9.3000000000000007","Z","10485","53","3.2999999999999998","Z","7291","44","2.2999999999999998","Z","27304","162","8.5999999999999996","0.10000000000000001"
NA,"Under 65 years","270270","27","243339","145","90","0.10000000000000001","186868","321","69.099999999999994","0.10000000000000001","158246","292","58.600000000000001","0.10000000000000001","29500","163","10.9","0.10000000000000001","5781","65","2.1000000000000001","Z","66609","215","24.600000000000001","0.10000000000000001","59679","206","22.100000000000001","0.10000000000000001","6872","62","2.5","Z","8111","50","3","Z","2197","25","0.80000000000000004","Z","3807","40","1.3999999999999999","Z","3329","34","1.2","Z","26932","159","10","0.10000000000000001"
NA,"Under 19 years","78038","50","74389","53","95.299999999999997","0.10000000000000001","46658","131","59.799999999999997","0.20000000000000001","40080","124","51.399999999999999","0.20000000000000001","5985","57","7.7000000000000002","0.10000000000000001","1906","32","2.3999999999999999","Z","30897","144","39.600000000000001","0.20000000000000001","30551","142","39.100000000000001","0.20000000000000001","3083","41","4","0.10000000000000001","495","15","0.59999999999999998","Z","83","6","0.10000000000000001","Z","217","10","0.29999999999999999","Z","106","8","0.10000000000000001","Z","3649","47","4.7000000000000002","0.10000000000000001"
