"Table with row headers in columns A and B and column headers in rows 5 through 9","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
"Table HI05_ACS. Health Insurance Coverage Status and Type of Coverage by State and Age for All Persons: 2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Universe: Civilian noninstitutionalized population",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Numbers in thousands)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nation/State","Characteristic","Total",NA,"Any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Any private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Employment-based",NA,NA,NA,"Direct purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA
NA,NA,"Number","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA
"United States","All people","335200","21","307700","221","91.8","0.1","225200","467","67.2","0.1","183000","433","54.6","0.1","47310","175","14.1","0.1","9246","84","2.8","Z","123400","262","36.8","0.1","68710","313","20.5","0.1","11300","90","3.4","Z","63480","67","18.9","Z","30730","101","9.199999999999999","Z","12110","74","3.6","Z","7750","62","2.3","Z","27480","219","8.199999999999999","0.1"
"United States",".Under 65 years","275400","34","248400","209","90.2","0.1","193700","406","70.3","0.2","165400","390","60.1","0.1","31140","151","11.3","0.1","6042","72","2.2","Z","66570","281","24.2","0.1","59990","282","21.8","0.1","8331","83","3","Z","6666","53","2.4","Z","1755","27","0.6","Z","3386","40","1.2","Z","3964","49","1.4","Z","26990","214","9.800000000000001","0.1"
"United States",".Under 19 years","77430","52","72780","72","94","0.1","47430","168","61.3","0.2","40760","159","52.6","0.2","6477","66","8.4","0.1","2097","38","2.7","0.1","29380","175","37.9","0.2","29010","173","37.5","0.2","3886","52","5","0.1","475","16","0.6","Z","104","7","0.1","Z","252","13","0.3","Z","206","14","0.3","Z","4648","66","6","0.1"
"United States",".19 - 64 years","197900","50","175600","185","88.7","0.1","146300","269","73.90000000000001","0.1","124700","263","63","0.1","24660","110","12.5","0.1","3945","48","2","Z","37180","147","18.8","0.1","30970","144","15.6","0.1","4445","50","2.2","Z","6191","49","3.1","Z","1651","25","0.8","Z","3134","36","1.6","Z","3757","44","1.9","Z","22340","170","11.3","0.1"
"United States",".65 years and over","59810","25","59320","32","99.2","Z","31450","97","52.6","0.2","17570","75","29.4","0.1","16170","73","27","0.1","3204","33","5.4","0.1","56880","47","95.09999999999999","0.1","8721","52","14.6","0.1","2973","29","5","Z","56810","47","95","0.1","28980","98","48.4","0.2","8721","52","14.6","0.1","3787","33","6.3","0.1","490","14","0.8","Z"
"Alabama","All people","5074","2","4656","15","91.8","0.3","3426","27","67.5","0.5","2715","29","53.5","0.6","751","18","14.8","0.4","252","12","5","0.2","1922","20","37.9","0.4","1003","18","19.8","0.4","179","8","3.5","0.2","1056","8","20.8","0.2","529","10","10.4","0.2","211","8","4.2","0.2","161","7","3.2","0.1","418","15","8.199999999999999","0.3"
"Alabama",".Under 65 years","4141","4","3728","16","90","0.4","2915","25","70.40000000000001","0.6","2428","29","58.6","0.7","504","16","12.2","0.4","157","10","3.8","0.2","1023","19","24.7","0.5","866","19","20.9","0.5","122","9","2.9","0.2","158","7","3.8","0.2","47","4","1.1","0.1","74","6","1.8","0.2","87","6","2.1","0.1","413","16","10","0.4"
"Alabama",".Under 19 years","1211","6","1160","7","95.7","0.5","670","13","55.3","1","570","13","47.1","1.1","86","7","7.1","0.6","49","6","4","0.5","544","12","44.9","1","536","12","44.2","1","50","5","4.2","0.4","9","2","0.7","0.2","2","1","0.2","0.1","4","1","0.3","0.1","4","1","0.4","0.1","52","7","4.3","0.5"
"Alabama",".19 - 64 years","2930","6","2568","15","87.7","0.4","2245","18","76.59999999999999","0.6","1857","21","63.4","0.7","418","14","14.3","0.5","108","6","3.7","0.2","479","12","16.3","0.4","331","11","11.3","0.4","72","6","2.5","0.2","149","7","5.1","0.2","45","4","1.5","0.1","71","6","2.4","0.2","82","5","2.8","0.2","362","13","12.3","0.4"
"Alabama",".65 years and over","932","3","928","3","99.5","0.1","512","9","54.9","1","288","7","30.9","0.8","247","8","26.5","0.9","95","5","10.2","0.5","899","4","96.40000000000001","0.3","137","6","14.7","0.6","57","3","6.1","0.3","898","4","96.3","0.3","482","9","51.7","0.9","137","6","14.7","0.6","74","4","7.9","0.5","4","1","0.5","0.1"
"Alaska","All people","706","3","628","6","89","0.8","464","10","65.8","1.4","384","12","54.4","1.6","63","6","8.9","0.8","63","7","9","1","267","10","37.8","1.4","164","10","23.3","1.4","33","4","4.7","0.6","113","3","16","0.4","64","3","9","0.4","26","3","3.7","0.4","30","3","4.3","0.5","78","6","11","0.8"
"Alaska",".Under 65 years","598","3","522","7","87.3","1","400","10","66.8","1.5","335","11","56","1.7","44","5","7.4","0.8","51","7","8.5","1.2","165","10","27.6","1.6","146","10","24.4","1.6","29","4","4.8","0.7","12","2","2","0.4","4","1","0.7","0.2","7","2","1.2","0.3","18","3","3.1","0.5","76","6","12.7","1"
"Alaska",".Under 19 years","182","2","166","3","91.2","1.5","112","6","61.2","3","90","6","49.6","3.2","10","3","5.4","1.5","21","4","11.4","2","69","6","37.9","3.3","67","6","36.9","3.2","13","3","7.2","1.4","1","1","0.5","0.3","Z","Z","0.2","0.2","1","1","0.4","0.3","1","1","0.8","0.6","16","3","8.800000000000001","1.5"
"Alaska",".19 - 64 years","416","3","355","5","85.5","1","288","6","69.3","1.3","244","7","58.8","1.5","34","3","8.199999999999999","0.8","30","4","7.2","1","96","6","23.1","1.3","79","5","18.9","1.3","16","3","3.8","0.7","11","2","2.6","0.5","4","1","1","0.3","7","2","1.6","0.4","17","2","4.1","0.6","60","4","14.5","1"
